"242742,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.4667,-20.5667,Greenland,NA,NE Greenland,NA,Zackenberg,M. Tiusanen & T. Roslin	",,,
"242897,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"243124,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"243275,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"243509,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"243585,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"243742,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"244129,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"244193,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"244248,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.4667,-20.5667,Greenland,NA,NE Greenland,NA,Zackenberg,M. Tiusanen & T. Roslin	",,,
"244425,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"244572,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.4667,-20.5667,Greenland,NA,NE Greenland,NA,Zackenberg,M. Tiusanen & T. Roslin	",,,
"244701,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"244716,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,T. Roslin et al. leg.	",,,
"244793,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"244823,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"244866,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"245080,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.4667,-20.5667,Greenland,NA,NE Greenland,NA,Zackenberg,M. Tiusanen & T. Roslin	",,,
"245159,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,T. Roslin et al. leg.	",,,
"245326,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.4667,-20.5667,Greenland,NA,NE Greenland,NA,Zackenberg,M. Tiusanen & T. Roslin	",,,
"245403,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"245489,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.469,-20.574,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 9,T. Roslin et al. leg.	",,,
"245650,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"245702,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"245731,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"245981,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"246043,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,""R. Kaartinen, T. Roslin, G. Varkonyi""	",,,
"246119,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,T. Roslin et al. leg.	",,,
"246205,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.466,-20.597,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 7,T. Roslin et al. leg.	",,,
"246280,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.4667,-20.5667,Greenland,NA,NE Greenland,NA,Zackenberg,M. Tiusanen & T. Roslin	",,,
"246495,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.467,-20.567,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,NA,T. Roslin et al. leg.	",,,
"246585,BOLD:AAL1593,Allocladius nanseni,Orthocladiinae,74.469,-20.574,Greenland,NA,Northeast Greenland NP,Zackenberg Research Station,Trap 9,T. Roslin et al. leg.	",,,
